City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
kirkwall,58.95,58.95,53.6,93.0,98.0,10.29,GB,1594844494.0
altay,46.32,46.32,64.72,44.0,56.0,10.11,CN,1594844494.0
nikolskoye,40.25,40.25,62.6,55.0,100.0,6.71,RU,1594844494.0
lorengau,3.18,3.18,80.89,68.0,93.0,3.24,PG,1594844494.0
mitsamiouli,-8.04,-8.04,77.47,68.0,19.0,16.55,KM,1594844494.0
puerto ayora,-10.83,-10.83,72.0,84.0,89.0,1.99,EC,1594844495.0
coquimbo,-28.58,-28.58,53.6,76.0,75.0,11.41,CL,1594844495.0
sovetskiy,71.51,71.51,71.44,74.0,59.0,5.37,RU,1594844495.0
avera,-31.69,-31.69,96.8,41.0,1.0,6.93,US,1594844328.0
port hedland,-19.36,-19.36,57.2,67.0,0.0,6.93,AU,1594844495.0
ancud,-39.43,-39.43,46.4,100.0,90.0,8.05,CL,1594844348.0
saint george,31.86,31.86,102.0,9.0,1.0,5.82,US,1594844347.0
salta,-24.93,-24.93,60.8,48.0,20.0,8.05,AR,1594844496.0
mataura,-46.56,-46.56,39.0,83.0,10.0,3.0,NZ,1594844496.0
bambanglipuro,-10.35,-10.35,75.51,89.0,83.0,10.63,ID,1594844496.0
barrow,74.99,74.99,44.6,75.0,1.0,9.17,US,1594844496.0
naze,28.68,28.68,82.4,88.0,75.0,16.11,JP,1594844496.0
halifax,42.65,42.65,63.0,88.0,90.0,13.87,CA,1594844268.0
ushuaia,-83.36,-83.36,32.0,93.0,20.0,4.7,AR,1594844497.0
victoria,-9.58,-9.58,86.0,74.0,100.0,15.01,HK,1594844438.0
klaksvik,74.84,74.84,50.0,100.0,90.0,9.17,FO,1594844497.0
airai,15.67,15.67,54.97,98.0,91.0,3.67,TL,1594844272.0
stulovo,58.89,58.89,66.22,95.0,91.0,3.18,RU,1594844498.0
port lincoln,-38.74,-38.74,52.52,78.0,0.0,6.46,AU,1594844498.0
anadyr,63.52,63.52,55.4,82.0,20.0,2.24,RU,1594844427.0
gannan,48.45,48.45,69.82,72.0,100.0,2.93,CN,1594844498.0
ostrovnoy,80.08,80.08,48.34,81.0,0.0,6.91,RU,1594844332.0
tynda,54.83,54.83,61.18,89.0,6.0,0.34,RU,1594844498.0
ahuimanu,23.42,23.42,84.2,51.0,40.0,18.34,US,1594844404.0
hithadhoo,-11.93,-11.93,83.62,73.0,100.0,5.35,MV,1594844435.0
muisne,1.52,1.52,76.8,81.0,78.0,11.5,EC,1594844499.0
rio tuba,7.99,7.99,81.7,73.0,60.0,6.6,PH,1594844499.0
grindavik,53.01,53.01,51.8,93.0,75.0,18.34,IS,1594844499.0
grand gaube,-17.29,-17.29,70.0,73.0,0.0,8.01,MU,1594844499.0
teya,61.69,61.69,44.35,89.0,33.0,2.95,RU,1594844499.0
baghdad,31.14,31.14,98.6,20.0,0.0,13.87,IQ,1594844209.0
bafq,31.83,31.83,86.45,18.0,27.0,9.44,IR,1594844500.0
tuatapere,-51.89,-51.89,39.0,83.0,78.0,3.0,NZ,1594844500.0
dillon,45.13,45.13,91.99,49.0,1.0,5.82,US,1594844500.0
martapura,-4.29,-4.29,73.4,100.0,90.0,1.12,ID,1594844500.0
narsaq,85.75,85.75,57.2,54.0,7.0,10.29,GL,1594844501.0
kargasok,61.18,61.18,60.64,92.0,33.0,11.86,RU,1594844367.0
pevek,86.45,86.45,45.0,87.0,100.0,1.39,RU,1594844501.0
saint-augustin,59.28,59.28,61.72,45.0,2.0,8.59,CA,1594844501.0
yumen,34.61,34.61,70.39,24.0,99.0,5.21,CN,1594844501.0
hermanus,-59.77,-59.77,53.94,60.0,20.0,4.05,ZA,1594844501.0
chokurdakh,72.11,72.11,36.01,89.0,100.0,13.44,RU,1594844501.0
lokoja,7.83,7.83,75.65,89.0,96.0,3.29,NG,1594844502.0
high level,57.77,57.77,69.8,43.0,20.0,8.05,CA,1594844502.0
butaritari,10.52,10.52,82.67,75.0,57.0,15.82,KI,1594844502.0
tarko-sale,64.65,64.65,60.01,91.0,100.0,14.76,RU,1594844502.0
port alfred,-84.61,-84.61,54.46,41.0,0.0,5.17,ZA,1594844502.0
vasylivka,47.41,47.41,66.99,59.0,0.0,1.81,UA,1594844502.0
kushima,28.43,28.43,68.0,82.0,90.0,3.36,JP,1594844503.0
kedrovoye,57.38,57.38,69.8,64.0,0.0,4.47,RU,1594844503.0
ponta do sol,25.37,25.37,69.01,67.0,16.0,5.19,PT,1594844503.0
kapaa,20.04,20.04,82.4,69.0,20.0,12.75,US,1594844269.0
thompson,54.52,54.52,66.2,77.0,75.0,18.34,CA,1594844503.0
baykit,65.41,65.41,45.45,87.0,16.0,4.59,RU,1594844503.0
bethel,57.68,57.68,79.0,65.0,40.0,9.17,US,1594844390.0
lagoa,51.46,51.46,69.75,81.0,100.0,10.8,PT,1594844503.0
misratah,31.82,31.82,78.82,73.0,0.0,12.62,LY,1594844504.0
katsuura,27.0,27.0,66.2,88.0,75.0,11.41,JP,1594844291.0
upernavik,76.66,76.66,42.84,90.0,98.0,6.46,GL,1594844504.0
tarpon springs,28.44,28.44,93.0,62.0,1.0,6.93,US,1594844504.0
pachino,36.21,36.21,73.99,77.0,36.0,7.58,IT,1594844504.0
tautira,-18.42,-18.42,80.6,74.0,75.0,10.29,PF,1594844504.0
axim,1.19,1.19,74.64,81.0,93.0,7.34,GH,1594844505.0
montepuez,-13.06,-13.06,64.74,60.0,0.0,13.62,MZ,1594844505.0
belfast,-25.81,-25.81,60.8,82.0,99.0,6.93,GB,1594844505.0
jamestown,-19.72,-19.72,84.99,47.0,20.0,9.17,US,1594844505.0
carnarvon,-28.55,-28.55,66.2,63.0,90.0,6.93,AU,1594844301.0
punta arenas,-73.65,-73.65,33.8,86.0,75.0,8.05,CL,1594844382.0
hilo,13.37,13.37,80.6,69.0,90.0,4.7,US,1594844260.0
tiksi,77.21,77.21,36.59,86.0,0.0,18.01,RU,1594844314.0
brigantine,36.37,36.37,78.8,65.0,75.0,10.29,US,1594844506.0
qaanaaq,75.23,75.23,41.65,85.0,100.0,7.67,GL,1594844506.0
provideniya,56.99,56.99,48.2,81.0,90.0,6.71,RU,1594844506.0
fiumicino,41.56,41.56,79.0,73.0,0.0,4.7,IT,1594844506.0
xuddur,5.84,5.84,76.51,64.0,100.0,17.85,SO,1594844506.0
bluff,-79.01,-79.01,39.0,83.0,54.0,3.0,NZ,1594844506.0
kodiak,41.37,41.37,66.2,59.0,1.0,6.93,US,1594844507.0
barcelos,1.43,1.43,87.01,47.0,63.0,9.17,PT,1594844507.0
faya,21.93,21.93,77.0,44.0,20.0,3.2,SA,1594844507.0
komsomolskiy,66.83,66.83,80.6,34.0,40.0,2.24,UZ,1594844486.0
port elizabeth,-71.1,-71.1,44.6,87.0,1.0,3.36,ZA,1594844418.0
husavik,70.32,70.32,53.6,87.0,75.0,6.93,IS,1594844507.0
bend,43.29,43.29,84.2,9.0,1.0,9.17,US,1594844361.0
lompoc,21.63,21.63,69.01,64.0,0.0,6.93,US,1594844508.0
paulo ramos,-4.22,-4.22,86.14,64.0,77.0,1.88,BR,1594844508.0
huanan,46.49,46.49,64.45,93.0,0.0,3.89,CN,1594844508.0
sao joao da barra,-34.88,-34.88,69.8,73.0,90.0,11.41,BR,1594844402.0
westport,56.55,56.55,79.0,61.0,1.0,9.17,US,1594844282.0
bredasdorp,-86.02,-86.02,41.0,86.0,1.0,3.36,ZA,1594844508.0
amapa,1.87,1.87,82.67,75.0,4.0,3.47,BR,1594844509.0
faanui,-8.5,-8.5,77.76,86.0,16.0,17.11,PF,1594844509.0
santa maria,21.03,21.03,57.2,54.0,0.0,13.87,BR,1594844374.0
noumea,-27.68,-27.68,71.01,82.0,75.0,2.24,NC,1594844298.0
lebu,-37.54,-37.54,54.91,82.0,100.0,1.92,CL,1594844509.0
coihaique,-48.21,-48.21,37.4,86.0,75.0,4.7,CL,1594844311.0
sorokino,53.61,53.61,53.31,78.0,31.0,4.41,RU,1594844509.0
richards bay,-32.42,-32.42,57.76,69.0,39.0,5.46,ZA,1594844510.0
kaitangata,-62.98,-62.98,37.92,85.0,45.0,3.91,NZ,1594844510.0
juba,5.41,5.41,70.57,87.0,85.0,2.26,SS,1594844398.0
dinghai,30.6,30.6,80.6,83.0,100.0,6.71,CN,1594844510.0
nesebar,42.74,42.74,70.0,72.0,0.0,6.93,BG,1594844510.0
boyolangu,-14.1,-14.1,74.35,88.0,100.0,7.85,ID,1594844510.0
raudeberg,64.86,64.86,60.8,82.0,75.0,6.93,NO,1594844511.0
hirara,26.09,26.09,85.21,81.0,100.0,24.11,JP,1594844511.0
lavumisa,-27.66,-27.66,50.5,68.0,0.0,3.24,SZ,1594844511.0
grand island,42.14,42.14,78.8,57.0,20.0,8.05,US,1594844511.0
the pas,53.45,53.45,66.2,59.0,90.0,19.46,CA,1594844511.0
iqaluit,63.97,63.97,60.8,51.0,20.0,4.7,CA,1594844511.0
mumford,4.96,4.96,75.06,82.0,100.0,15.93,GH,1594844511.0
luanda,-9.17,-9.17,71.6,88.0,40.0,5.82,AO,1594844360.0
aklavik,69.78,69.78,57.2,76.0,90.0,6.93,CA,1594844512.0
mahebourg,-35.95,-35.95,71.6,73.0,40.0,8.05,MU,1594844304.0
venado,22.86,22.86,81.34,32.0,4.0,4.79,MX,1594844512.0
pangody,65.83,65.83,58.62,95.0,72.0,15.05,RU,1594844512.0
liverpool,38.87,38.87,59.0,87.0,90.0,13.87,GB,1594844482.0
los llanos de aridane,28.5,28.5,71.6,78.0,40.0,14.99,ES,1594844334.0
moa,21.26,21.26,86.58,65.0,1.0,11.01,CU,1594844513.0
vieux-habitants,15.31,15.31,86.0,62.0,20.0,10.29,GP,1594844513.0
cabo san lucas,10.31,10.31,95.0,39.0,5.0,5.82,MX,1594844422.0
fortuna,33.97,33.97,66.2,63.0,20.0,16.11,US,1594844394.0
hofn,58.8,58.8,50.0,93.0,90.0,11.41,IS,1594844513.0
khatanga,81.13,81.13,55.69,69.0,100.0,11.9,RU,1594844403.0
kruisfontein,-89.61,-89.61,44.15,61.0,0.0,2.77,ZA,1594844513.0
meulaboh,1.34,1.34,77.88,90.0,100.0,5.01,ID,1594844514.0
houma,25.9,25.9,91.99,62.0,40.0,8.05,US,1594844514.0
corrente,-10.11,-10.11,85.95,59.0,35.0,2.33,BR,1594844514.0
jaora,23.79,23.79,80.42,81.0,100.0,13.18,IN,1594844514.0
pisco,-14.97,-14.97,64.99,72.0,40.0,9.17,PE,1594844357.0
buraydah,24.42,24.42,96.8,20.0,0.0,20.47,SA,1594844514.0
dikson,75.21,75.21,40.19,96.0,85.0,9.86,RU,1594844514.0
sampit,-3.74,-3.74,72.77,97.0,100.0,1.28,ID,1594844514.0
haicheng,22.89,22.89,68.65,87.0,0.0,4.61,CN,1594844515.0
oktyabrskoye,63.44,63.44,69.01,93.0,67.0,4.47,RU,1594844515.0
adrar,29.87,29.87,100.24,20.0,0.0,13.94,MR,1594844515.0
makakilo city,8.13,8.13,84.2,54.0,90.0,6.93,US,1594844324.0
kavieng,9.26,9.26,81.05,72.0,4.0,3.04,PG,1594844515.0
carlyle,49.77,49.77,89.01,69.0,100.0,11.99,US,1594844515.0
atuona,-11.09,-11.09,79.63,74.0,1.0,16.04,PF,1594844382.0
mackenzie,55.15,55.15,56.53,82.0,100.0,6.26,CA,1594844516.0
buala,-1.27,-1.27,77.29,89.0,100.0,15.79,SB,1594844516.0
road town,17.3,17.3,84.99,83.0,20.0,4.7,VG,1594844513.0
sitka,52.62,52.62,59.0,82.0,75.0,9.17,US,1594844516.0
ilulissat,81.27,81.27,46.4,81.0,75.0,3.36,GL,1594844516.0
yatou,37.64,37.64,67.93,96.0,14.0,5.39,CN,1594844496.0
port-gentil,0.37,0.37,77.0,78.0,75.0,12.44,GA,1594844516.0
cookeville,35.78,35.78,91.4,43.0,20.0,6.93,US,1594844270.0
vestmannaeyjar,62.46,62.46,52.21,92.0,100.0,34.47,IS,1594844517.0
hamilton,34.43,34.43,93.0,40.0,20.0,6.51,US,1594844477.0
tuktoyaktuk,81.87,81.87,55.4,66.0,75.0,6.93,CA,1594844517.0
plettenberg bay,-41.25,-41.25,52.21,45.0,0.0,3.29,ZA,1594844517.0
nyurba,66.39,66.39,64.65,75.0,100.0,3.89,RU,1594844517.0
leh,35.11,35.11,62.42,31.0,31.0,5.35,IN,1594844518.0
namibe,-16.63,-16.63,66.15,88.0,37.0,4.72,AO,1594844518.0
praia da vitoria,38.52,38.52,71.6,78.0,75.0,10.09,PT,1594844300.0
bogale,14.58,14.58,78.87,88.0,96.0,4.18,MM,1594844518.0
chimbote,-10.52,-10.52,66.58,73.0,6.0,10.67,PE,1594844518.0
deputatskiy,73.3,73.3,37.13,78.0,89.0,9.75,RU,1594844518.0
bathsheba,12.95,12.95,87.8,62.0,40.0,12.75,BB,1594844518.0
tulun,54.65,54.65,50.0,79.0,1.0,9.8,RU,1594844519.0
umuahia,5.52,5.52,70.81,98.0,90.0,5.26,NG,1594844519.0
abdanan,32.88,32.88,83.75,15.0,0.0,12.75,IR,1594844519.0
swan hill,-34.73,-34.73,38.86,90.0,0.0,5.93,AU,1594844519.0
mujiayingzi,41.65,41.65,69.48,61.0,1.0,6.49,CN,1594844519.0
havre-saint-pierre,52.55,52.55,66.2,52.0,1.0,8.05,CA,1594844519.0
guerrero negro,28.18,28.18,79.92,47.0,92.0,18.34,MX,1594844319.0
baiyin,35.94,35.94,72.0,77.0,96.0,2.24,CN,1594844424.0
dogondoutchi,13.16,13.16,88.84,51.0,98.0,8.12,NE,1594844520.0
salalah,12.06,12.06,80.6,94.0,75.0,3.36,OM,1594844520.0
russkaya polyana,53.36,53.36,59.59,85.0,80.0,5.19,UA,1594844520.0
chuy,-39.9,-39.9,48.11,64.0,0.0,2.44,UY,1594844520.0
rio grande,-32.57,-32.57,55.4,32.0,0.0,4.7,BR,1594844251.0
kampot,9.72,9.72,78.8,88.0,40.0,2.24,KH,1594844437.0
torbay,48.92,48.92,48.99,100.0,90.0,19.46,CA,1594844521.0
erode,11.42,11.42,78.4,78.0,100.0,9.86,IN,1594844521.0
sayat,38.91,38.91,86.0,33.0,0.0,6.93,TM,1594844521.0
norman wells,81.47,81.47,71.6,49.0,20.0,5.82,CA,1594844521.0
gikongoro,-2.5,-2.5,61.83,67.0,97.0,3.62,RW,1594844521.0
oktyabrskiy,56.68,56.68,73.47,82.0,88.0,1.16,RU,1594844522.0
kasane,-17.25,-17.25,53.28,36.0,0.0,6.55,BW,1594844522.0
masyaf,35.43,35.43,77.0,88.0,0.0,4.7,SY,1594844522.0
floro,61.33,61.33,59.0,82.0,75.0,6.93,NO,1594844522.0
tulum,19.86,19.86,91.4,66.0,75.0,16.11,MX,1594844522.0
gogrial,8.75,8.75,73.33,87.0,97.0,1.28,SS,1594844522.0
mount isa,-20.96,-20.96,48.2,51.0,2.0,8.05,AU,1594844376.0
bubaque,8.39,8.39,80.04,82.0,100.0,14.99,GW,1594844523.0
denpasar,-11.78,-11.78,78.8,94.0,40.0,13.87,ID,1594844523.0
san cristobal,-3.11,-3.11,91.4,46.0,40.0,11.41,VE,1594844523.0
andenes,69.71,69.71,57.2,82.0,75.0,4.7,NO,1594844523.0
cedar city,37.68,37.68,91.4,7.0,1.0,5.82,US,1594844432.0
saskylakh,76.04,76.04,65.41,51.0,99.0,20.6,RU,1594844523.0
camocim,-2.53,-2.53,82.06,72.0,60.0,15.05,BR,1594844523.0
cherskiy,68.82,68.82,42.87,70.0,100.0,3.33,RU,1594844426.0
najran,17.52,17.52,93.2,20.0,40.0,6.93,SA,1594844524.0
zdunska wola,51.73,51.73,68.0,75.0,96.0,7.0,PL,1594844259.0
touros,1.7,1.7,78.8,74.0,40.0,8.05,BR,1594844524.0
sal rei,15.27,15.27,78.8,69.0,75.0,9.17,CV,1594844524.0
tura,64.58,64.58,74.88,95.0,100.0,6.46,IN,1594844524.0
la macarena,1.87,1.87,78.1,92.0,71.0,3.18,CO,1594844524.0
kungurtug,46.75,46.75,50.49,86.0,72.0,3.06,RU,1594844524.0
cape canaveral,29.58,29.58,88.0,70.0,20.0,10.29,US,1594844306.0
orumiyeh,37.6,37.6,66.2,59.0,0.0,6.93,IR,1594844525.0
nusaybin,36.24,36.24,87.57,15.0,0.0,3.89,TR,1594844525.0
san patricio,9.16,9.16,87.8,79.0,75.0,11.41,MX,1594844525.0
baruun-urt,47.19,47.19,68.92,61.0,70.0,7.61,MN,1594844525.0
sistranda,69.79,69.79,62.6,72.0,75.0,6.93,NO,1594844525.0
bengkulu,-17.6,-17.6,76.53,82.0,71.0,3.58,ID,1594844525.0
belaguntha,20.04,20.04,79.43,87.0,2.0,1.7,IN,1594844526.0
jaguey grande,21.66,21.66,89.6,62.0,40.0,12.75,CU,1594844526.0
ellisras,-24.1,-24.1,48.96,46.0,0.0,10.45,ZA,1594844526.0
la peca,-5.08,-5.08,78.42,56.0,35.0,3.22,PE,1594844526.0
bijar,36.31,36.31,62.76,61.0,0.0,5.01,IR,1594844418.0
chapais,51.71,51.71,73.4,53.0,75.0,10.29,CA,1594844526.0
valle hermoso,25.59,25.59,95.0,50.0,20.0,16.11,MX,1594844526.0
sisimiut,66.16,66.16,44.89,75.0,100.0,1.9,GL,1594844340.0
nemuro,38.57,38.57,53.38,91.0,100.0,8.46,JP,1594844373.0
beringovskiy,57.28,57.28,51.42,79.0,1.0,1.7,RU,1594844527.0
mangrol,18.97,18.97,81.61,84.0,100.0,8.52,IN,1594844527.0
san rafael,-34.92,-34.92,58.08,35.0,0.0,7.25,AR,1594844161.0
pilar,11.21,11.21,78.8,74.0,20.0,9.17,BR,1594844527.0
asau,-10.96,-10.96,57.0,86.0,9.0,4.56,RO,1594844527.0
half moon bay,34.02,34.02,73.99,56.0,75.0,9.17,US,1594844527.0
bartica,7.13,7.13,80.6,88.0,40.0,6.93,GY,1594844363.0
bergen,54.73,54.73,59.0,72.0,40.0,6.93,NO,1594844528.0
margate,-44.54,-44.54,62.01,82.0,100.0,1.01,GB,1594844528.0
poya,-27.44,-27.44,65.64,69.0,49.0,5.59,NC,1594844528.0
weatherford,35.68,35.68,98.6,35.0,1.0,16.11,US,1594844528.0
anzio,40.91,40.91,75.2,83.0,40.0,5.82,IT,1594844528.0
izumo,35.75,35.75,68.0,94.0,40.0,5.82,JP,1594844528.0
itarema,9.15,9.15,80.17,74.0,9.0,14.9,BR,1594844528.0
ciro marina,39.41,39.41,77.31,66.0,76.0,4.5,IT,1594844509.0
batagay-alyta,68.23,68.23,54.18,60.0,91.0,9.64,RU,1594844529.0
careiro da varzea,-3.03,-3.03,91.4,62.0,20.0,4.7,BR,1594844529.0
sussex,45.65,45.65,82.99,54.0,40.0,4.7,US,1594844286.0
east london,-41.12,-41.12,55.94,58.0,0.0,7.4,ZA,1594844529.0
rocha,-41.74,-41.74,47.66,69.0,0.0,4.54,UY,1594844351.0
belen,34.41,34.41,80.6,83.0,0.0,16.11,TR,1594844530.0
beni mazar,28.4,28.4,82.06,47.0,0.0,21.16,EG,1594844353.0
hurghada,27.18,27.18,90.34,24.0,0.0,15.99,EG,1594844530.0
sobolevo,52.86,52.86,51.01,93.0,100.0,13.87,RU,1594844530.0
salinas,-2.31,-2.31,71.6,56.0,1.0,11.41,US,1594844278.0
bowen,-16.24,-16.24,54.0,93.0,0.0,7.09,AU,1594844530.0
kerema,-8.65,-8.65,77.63,87.0,56.0,3.8,PG,1594844531.0
vila franca do campo,33.28,33.28,69.8,73.0,75.0,12.75,PT,1594844446.0
tessalit,22.74,22.74,96.28,19.0,63.0,2.15,ML,1594844373.0
cuauhtemoc,22.76,22.76,84.99,39.0,0.0,10.0,MX,1594844425.0
lasa,35.89,35.89,57.0,93.0,75.0,2.24,IT,1594844531.0
akdepe,41.95,41.95,80.6,30.0,0.0,9.17,TM,1594844531.0
mar del plata,-57.03,-57.03,50.0,61.0,0.0,9.17,AR,1594844502.0
omboue,-6.73,-6.73,72.1,88.0,96.0,7.05,GA,1594844432.0
beloha,-29.88,-29.88,62.76,77.0,28.0,9.57,MG,1594844532.0
riyadh,20.75,20.75,102.2,18.0,6.0,2.24,SA,1594844532.0
qadian,31.79,31.79,82.4,78.0,40.0,2.24,IN,1594844532.0
yakeshi,47.76,47.76,65.08,88.0,100.0,3.18,CN,1594844532.0
bibiani,6.31,6.31,70.36,89.0,24.0,1.97,GH,1594844532.0
le port,-17.8,-17.8,69.8,73.0,40.0,17.22,RE,1594844533.0
sitrah,26.41,26.41,95.0,63.0,0.0,4.7,BH,1594844533.0
pauini,-8.47,-8.47,89.11,50.0,95.0,1.86,BR,1594844533.0
qui nhon,14.1,14.1,80.17,88.0,51.0,10.94,VN,1594844533.0
los andes,-32.11,-32.11,69.8,30.0,0.0,10.29,CL,1594844533.0
carbonia,38.62,38.62,77.0,64.0,17.0,9.17,IT,1594844377.0
clyde river,70.26,70.26,64.4,48.0,1.0,16.11,CA,1594844533.0
srandakan,-9.41,-9.41,75.61,89.0,87.0,10.49,ID,1594844534.0
shiyan,31.96,31.96,68.86,91.0,100.0,0.63,CN,1594844534.0
lewistown,47.74,47.74,89.6,31.0,20.0,5.82,US,1594844534.0
ibra,20.71,20.71,86.92,51.0,1.0,4.36,OM,1594844534.0
mandalgovi,42.7,42.7,68.79,34.0,82.0,3.02,MN,1594844534.0
nebolchi,59.25,59.25,52.7,95.0,100.0,9.6,RU,1594844406.0
iralaya,15.7,15.7,89.6,70.0,40.0,6.93,HN,1594844534.0
bozoum,6.68,6.68,68.14,93.0,54.0,1.92,CF,1594844535.0
ulladulla,-39.67,-39.67,50.0,61.0,90.0,12.75,AU,1594844535.0
clinton,35.62,35.62,90.0,55.0,75.0,12.75,US,1594844491.0
callaway,29.2,29.2,77.0,83.0,75.0,10.27,US,1594844535.0
gat,24.34,24.34,81.0,69.0,0.0,4.43,IL,1594844308.0
san miguelito,11.36,11.36,89.6,66.0,40.0,6.93,PA,1594844535.0
arlit,21.75,21.75,98.56,15.0,0.0,5.75,NE,1594844536.0
wagar,16.41,16.41,93.51,34.0,42.0,20.62,SD,1594844491.0
goderich,1.91,1.91,86.0,58.0,33.0,3.0,CA,1594844444.0
nanhai,29.69,29.69,73.0,92.0,96.0,2.51,CN,1594844536.0
tougue,11.67,11.67,70.11,95.0,95.0,7.61,GN,1594844536.0
leningradskiy,70.52,70.52,44.35,82.0,90.0,12.03,RU,1594844536.0
alenquer,0.11,0.11,89.6,66.0,20.0,10.29,BR,1594844386.0
fort nelson,61.02,61.02,64.4,59.0,90.0,2.24,CA,1594844494.0
nome,67.69,67.69,51.01,87.0,90.0,4.7,US,1594844537.0
palmer,54.92,54.92,80.01,54.0,40.0,3.6,US,1594844537.0
coolum beach,-25.47,-25.47,54.0,76.0,0.0,1.01,AU,1594844537.0
hailin,44.6,44.6,61.68,92.0,0.0,2.46,CN,1594844537.0
talara,-5.65,-5.65,75.2,69.0,8.0,12.75,PE,1594844537.0
quatre cocos,-17.82,-17.82,71.6,73.0,40.0,8.05,MU,1594844537.0
high river,50.65,50.65,73.99,43.0,85.0,1.01,CA,1594844538.0
daru,-12.15,-12.15,77.11,89.0,69.0,17.96,PG,1594844538.0
solnechnyy,61.8,61.8,66.69,89.0,93.0,3.65,RU,1594844516.0
kununurra,-16.45,-16.45,64.4,35.0,20.0,8.05,AU,1594844374.0
souillac,-40.39,-40.39,71.6,73.0,40.0,8.05,MU,1594844538.0
yarmouth,44.28,44.28,68.0,82.0,48.0,15.01,US,1594844538.0
krapkowice,50.36,50.36,68.0,67.0,66.0,1.99,PL,1594844538.0
san quintin,25.48,25.48,74.34,61.0,0.0,16.22,MX,1594844538.0
vao,-24.79,-24.79,69.76,76.0,95.0,21.18,NC,1594844539.0
lhokseumawe,5.63,5.63,77.92,86.0,100.0,3.42,ID,1594844539.0
moose factory,54.98,54.98,80.6,51.0,40.0,11.41,CA,1594844539.0
abong mbang,2.84,2.84,68.43,89.0,84.0,1.72,CM,1594844539.0
bayanday,52.41,52.41,56.23,90.0,100.0,11.9,RU,1594844539.0
sabattus,44.11,44.11,75.0,53.0,40.0,10.29,US,1594844539.0
mareeba,-14.96,-14.96,55.0,71.0,12.0,5.01,AU,1594844540.0
tabou,-2.26,-2.26,74.73,78.0,100.0,6.64,CI,1594844540.0
khani,55.67,55.67,73.4,88.0,75.0,2.24,GE,1594844540.0
shimsk,58.48,58.48,57.9,64.0,100.0,7.02,RU,1594844540.0
poyarkovo,48.88,48.88,69.13,85.0,93.0,6.13,RU,1594844540.0
esperance,-39.73,-39.73,48.2,81.0,90.0,9.17,AU,1594844536.0
tatawin,32.52,32.52,95.0,26.0,0.0,6.93,TN,1594844259.0
kysyl-syr,61.28,61.28,64.04,67.0,6.0,2.21,RU,1594844540.0
cidreira,-55.89,-55.89,52.47,59.0,0.0,5.95,BR,1594844541.0
ocos,12.86,12.86,91.4,66.0,20.0,2.24,GT,1594844541.0
anito,15.84,15.84,78.85,84.0,99.0,5.99,PH,1594844541.0
longyearbyen,81.52,81.52,48.2,57.0,75.0,4.7,SJ,1594844541.0
soyo,-7.41,-7.41,72.68,83.0,97.0,9.62,AO,1594844541.0
